k,start,end
2,1954-12-08,1955-06-23
3,1954-12-08,1955-06-23
3,1991-09-03,1992-01-24
4,1972-12-13,1973-06-20
4,2019-01-16,2019-06-28
7,1954-12-08,1955-06-23
7,1957-10-15,1958-05-09
7,1974-09-18,1975-03-21
8,1967-09-06,1968-01-26
8,1972-12-13,1973-06-20
8,1975-10-22,1976-05-14
8,1998-10-26,1999-05-07
13,2010-12-16,2011-07-08
15,2002-10-17,2003-03-20
16,1956-02-02,1956-07-07
16,1992-02-12,1992-07-22
16,1998-10-26,1999-05-07
16,2009-10-27,2010-05-21
16,2019-01-16,2019-06-28
18,1998-10-26,1999-05-07
20,1982-11-24,1983-01-20
20,1984-05-24,1984-11-16
21,1998-10-26,1999-05-07
21,2021-10-26,2022-06-03
25,1954-05-06,1954-11-19
27,1990-12-20,1991-06-21
28,1959-09-15,1960-01-27
29,1979-03-07,1979-09-21
31,1955-06-28,1956-01-20
