k,start,end
1,1954-05-06,1954-11-19
1,1954-12-08,1955-06-23
1,1956-09-27,1957-03-15
1,1960-02-10,1960-07-01
1,1967-09-06,1968-01-26
1,1975-04-09,1975-10-17
1,1977-09-07,1978-01-20
1,1978-09-01,1979-02-16
1,1979-03-07,1979-09-21
1,1983-10-26,1984-05-04
1,1991-09-03,1992-01-24
1,1992-02-12,1992-07-22
1,1992-09-08,1993-03-05
1,2012-09-11,2013-03-22
1,2014-05-21,2014-12-05
1,2014-12-17,2015-07-03
1,2018-06-06,2018-12-14
2,1954-05-06,1954-11-19
2,1954-12-08,1955-06-23
2,1956-02-02,1956-07-07
2,1956-09-27,1957-03-15
2,1957-03-20,1957-08-29
2,1981-09-09,1981-11-12
2,1983-03-29,1983-10-14
2,1989-11-15,1990-05-31
2,1990-12-20,1991-06-21
2,1994-11-10,1995-06-02
2,1998-10-26,1999-05-07
3,1954-12-08,1955-06-23
3,1957-03-20,1957-08-29
3,1957-10-15,1958-05-09
3,1960-02-10,1960-07-01
3,1966-05-17,1966-12-08
3,1966-12-09,1967-06-30
3,1969-10-20,1970-03-20
3,1972-01-19,1972-06-23
3,1972-12-13,1973-06-20
3,1974-02-13,1974-07-25
3,1974-09-18,1975-03-21
3,1975-10-22,1976-05-14
3,1979-09-26,1980-03-21
3,1983-03-29,1983-10-14
3,1987-02-18,1987-09-02
3,1987-09-09,1988-03-11
3,1989-11-15,1990-05-31
3,1991-09-03,1992-01-24
3,1992-09-08,1993-03-05
3,1995-06-21,1995-12-08
3,1998-04-01,1998-10-16
3,1998-10-26,1999-05-07
3,1999-12-15,2000-07-07
3,2009-10-27,2010-05-21
3,2014-12-17,2015-07-03
3,2016-02-17,2016-07-08
3,2017-10-24,2018-05-18
4,1954-05-06,1954-11-19
4,1965-10-19,1966-05-06
4,1969-10-20,1970-03-20
4,1972-12-13,1973-06-20
4,1976-05-19,1976-12-08
4,1978-01-24,1978-06-23
4,1999-12-15,2000-07-07
4,2006-12-13,2007-07-06
4,2009-04-22,2009-09-08
4,2009-10-27,2010-05-21
4,2012-09-11,2013-03-22
4,2013-04-17,2013-09-03
4,2013-10-22,2014-05-09
4,2014-05-21,2014-12-05
4,2019-01-16,2019-06-28
4,2020-02-12,2020-08-07
4,2020-09-09,2021-03-26
5,1970-09-16,1971-02-12
5,2014-12-17,2015-07-03
