k,start,end
1,1958-12-09,1959-06-25
1,2008-09-16,2009-03-27
3,1954-12-08,1955-06-23
3,1998-10-26,1999-05-07
3,2018-06-06,2018-12-14
4,1954-12-08,1955-06-23
4,1958-12-09,1959-06-25
4,1960-09-28,1961-03-17
4,1966-12-09,1967-06-30
4,1967-09-06,1968-01-26
4,1969-10-20,1970-03-20
4,1972-12-13,1973-06-20
4,1974-09-18,1975-03-21
4,1975-10-22,1976-05-14
4,1976-12-14,1977-06-24
4,1979-09-26,1980-03-21
4,1983-03-29,1983-10-14
4,1990-12-20,1991-06-21
4,1994-11-10,1995-06-02
4,1998-10-26,1999-05-07
4,2002-10-17,2003-03-20
4,2005-10-18,2006-05-11
4,2013-10-22,2014-05-09
5,1994-11-10,1995-06-02
5,1998-10-26,1999-05-07
5,2002-10-17,2003-03-20
5,2021-10-26,2022-06-03
6,1974-09-18,1975-03-21
6,1975-04-09,1975-10-17
6,1986-01-15,1986-06-27
6,1987-09-09,1988-03-11
8,1954-05-06,1954-11-19
8,1969-03-26,1969-07-03
8,1972-09-20,1972-09-22
8,1972-12-13,1973-06-20
8,1974-02-13,1974-07-25
8,1974-09-18,1975-03-21
8,1975-10-22,1976-05-14
8,1978-01-24,1978-06-23
8,1992-02-12,1992-07-22
8,1998-10-26,1999-05-07
8,2006-05-19,2006-12-01
8,2009-10-27,2010-05-21
8,2014-05-21,2014-12-05
8,2019-01-16,2019-06-28
10,2017-10-24,2018-05-18
11,1989-11-15,1990-05-31
11,1990-12-20,1991-06-21
12,1959-09-15,1960-01-27
12,1982-11-24,1983-01-20
12,1984-05-24,1984-11-16
13,1954-05-06,1954-11-19
13,1954-12-08,1955-06-23
13,1956-09-27,1957-03-15
13,1957-03-20,1957-08-29
13,1981-09-09,1981-11-12
13,1981-11-13,1982-03-12
13,1989-11-15,1990-05-31
13,1994-11-10,1995-06-02
13,1999-12-15,2000-07-07
13,2013-04-17,2013-09-03
13,2013-10-22,2014-05-09
13,2019-01-16,2019-06-28
13,2020-02-12,2020-08-07
13,2020-09-09,2021-03-26
14,2002-10-17,2003-03-20
15,1983-10-26,1984-05-04
15,1990-12-20,1991-06-21
15,1998-10-26,1999-05-07
15,2001-08-29,2002-03-21
15,2021-10-26,2022-06-03
16,1954-05-06,1954-11-19
16,2008-02-13,2008-06-27
17,1998-10-26,1999-05-07
17,2021-10-26,2022-06-03
20,2004-01-29,2004-07-02
20,2004-12-15,2005-05-12
21,1954-12-08,1955-06-23
22,1983-03-29,1983-10-14
22,2021-10-26,2022-06-03
24,1954-12-08,1955-06-23
24,1957-10-15,1958-05-09
24,1972-12-13,1973-06-20
24,1974-02-13,1974-07-25
24,1974-09-18,1975-03-21
24,1991-09-03,1992-01-24
26,1990-12-20,1991-06-21
26,2017-10-24,2018-05-18
27,1956-09-27,1957-03-15
27,1990-12-20,1991-06-21
27,1999-06-08,1999-12-03
28,1954-12-08,1955-06-23
28,1974-02-13,1974-07-25
28,1979-03-07,1979-09-21
