k,start,end
1,1954-05-06,1954-11-19
1,1958-12-09,1959-06-25
1,1960-09-28,1961-03-17
1,1996-01-17,1996-07-09
1,1997-09-09,1998-03-27
1,1998-04-01,1998-10-16
1,1998-10-26,1999-05-07
1,1999-12-15,2000-07-07
1,2008-09-16,2009-03-27
2,1954-12-08,1955-06-23
2,1970-09-16,1971-02-12
2,1972-12-13,1973-06-20
2,1975-10-22,1976-05-14
2,1991-09-03,1992-01-24
2,2014-05-21,2014-12-05
2,2017-10-24,2018-05-18
3,1954-12-08,1955-06-23
3,1974-02-13,1974-07-25
3,1974-09-18,1975-03-21
3,1975-10-22,1976-05-14
3,1998-10-26,1999-05-07
3,2001-02-07,2001-07-06
3,2001-08-29,2002-03-21
3,2005-10-18,2006-05-11
3,2009-10-27,2010-05-21
3,2010-06-09,2010-12-15
3,2010-12-16,2011-07-08
3,2013-10-22,2014-05-09
3,2018-06-06,2018-12-14
4,1953-10-06,1954-04-30
4,1957-10-15,1958-05-09
4,1958-12-09,1959-06-25
4,1960-09-28,1961-03-17
4,1965-10-19,1966-05-06
4,1966-12-09,1967-06-30
4,1967-09-06,1968-01-26
4,1969-10-20,1970-03-20
4,1972-12-13,1973-06-20
4,1974-09-18,1975-03-21
4,1975-10-22,1976-05-14
4,1976-12-14,1977-06-24
4,1977-09-07,1978-01-20
4,1979-09-26,1980-03-21
4,1983-03-29,1983-10-14
4,1986-01-15,1986-06-27
4,1988-10-12,1989-04-26
4,1990-12-20,1991-06-21
4,1991-09-03,1992-01-24
4,1994-11-10,1995-06-02
4,1996-08-29,1997-01-31
4,1997-02-19,1997-08-05
4,1997-09-09,1998-03-27
4,1998-10-26,1999-05-07
4,1999-06-08,1999-12-03
4,2002-10-17,2003-03-20
4,2003-04-02,2003-07-04
4,2004-01-29,2004-07-02
4,2005-10-18,2006-05-11
4,2009-10-27,2010-05-21
4,2010-06-09,2010-12-15
4,2013-10-22,2014-05-09
4,2014-05-21,2014-12-05
4,2014-12-17,2015-07-03
4,2019-01-16,2019-06-28
5,1954-05-06,1954-11-19
5,1966-12-09,1967-06-30
5,1994-11-10,1995-06-02
5,1997-02-19,1997-08-05
5,1998-10-26,1999-05-07
5,1999-12-15,2000-07-07
5,2002-10-17,2003-03-20
5,2018-06-06,2018-12-14
5,2021-10-26,2022-06-03
6,1954-12-08,1955-06-23
6,1960-02-10,1960-07-01
6,1974-09-18,1975-03-21
6,1975-04-09,1975-10-17
6,1977-09-07,1978-01-20
6,1986-01-15,1986-06-27
6,1987-02-18,1987-09-02
6,1987-09-09,1988-03-11
6,1994-11-10,1995-06-02
6,2018-06-06,2018-12-14
7,1967-09-06,1968-01-26
7,1975-04-09,1975-10-17
7,1977-09-07,1978-01-20
7,1983-10-26,1984-05-04
7,1991-09-03,1992-01-24
7,1992-02-12,1992-07-22
7,1992-09-08,1993-03-05
7,2010-12-16,2011-07-08
7,2014-05-21,2014-12-05
7,2018-06-06,2018-12-14
8,1953-10-06,1954-04-30
8,1965-10-19,1966-05-06
8,1968-09-25,1969-03-21
8,1969-10-20,1970-03-20
8,1972-09-20,1972-09-22
8,1972-12-13,1973-06-20
8,1974-02-13,1974-07-25
8,1974-09-18,1975-03-21
8,1975-10-22,1976-05-14
8,1976-05-19,1976-12-08
8,1976-12-14,1977-06-24
8,1978-01-24,1978-06-23
8,1983-10-26,1984-05-04
8,1992-02-12,1992-07-22
8,1994-11-10,1995-06-02
8,1998-10-26,1999-05-07
8,2002-10-17,2003-03-20
8,2006-05-19,2006-12-01
8,2009-10-27,2010-05-21
8,2013-10-22,2014-05-09
8,2019-01-16,2019-06-28
10,1995-06-21,1995-12-08
10,2017-10-24,2018-05-18
11,1954-12-08,1955-06-23
11,1972-12-13,1973-06-20
11,1989-11-15,1990-05-31
11,1990-12-20,1991-06-21
11,1993-09-29,1994-04-15
11,1996-01-17,1996-07-09
11,2008-09-16,2009-03-27
11,2018-06-06,2018-12-14
12,1956-02-02,1956-07-07
12,1959-09-15,1960-01-27
12,1962-12-12,1963-06-28
12,1968-02-07,1968-06-28
12,1982-03-24,1982-06-25
12,1982-11-24,1983-01-20
12,1984-05-24,1984-11-16
12,1993-09-29,1994-04-15
12,1994-04-20,1994-09-21
12,2006-12-13,2007-07-06
12,2012-09-11,2013-03-22
12,2013-04-17,2013-09-03
12,2014-12-17,2015-07-03
13,1954-05-06,1954-11-19
13,1954-12-08,1955-06-23
13,1956-02-02,1956-07-07
13,1956-09-27,1957-03-15
13,1957-03-20,1957-08-29
13,1972-12-13,1973-06-20
13,1981-09-09,1981-11-12
13,1981-11-13,1982-03-12
13,1983-03-29,1983-10-14
13,1985-06-19,1985-12-13
13,1987-09-09,1988-03-11
13,1989-11-15,1990-05-31
13,1990-12-20,1991-06-21
13,1994-04-20,1994-09-21
13,1994-11-10,1995-06-02
13,1998-04-01,1998-10-16
13,1998-10-26,1999-05-07
13,2002-10-17,2003-03-20
13,2005-10-18,2006-05-11
13,2006-05-19,2006-12-01
13,2009-04-22,2009-09-08
13,2009-10-27,2010-05-21
13,2012-09-11,2013-03-22
13,2013-04-17,2013-09-03
13,2013-10-22,2014-05-09
13,2014-05-21,2014-12-05
13,2017-03-29,2017-09-05
13,2019-01-16,2019-06-28
13,2020-02-12,2020-08-07
13,2020-09-09,2021-03-26
13,2021-10-26,2022-06-03
14,1954-12-08,1955-06-23
