k,start,end
1,1958-12-09,1959-06-25
1,2008-09-16,2009-03-27
3,1954-12-08,1955-06-23
4,1958-12-09,1959-06-25
4,1960-09-28,1961-03-17
4,1967-09-06,1968-01-26
4,1972-12-13,1973-06-20
4,1975-10-22,1976-05-14
4,1990-12-20,1991-06-21
4,1994-11-10,1995-06-02
4,1998-10-26,1999-05-07
4,2013-10-22,2014-05-09
5,1998-10-26,1999-05-07
8,1954-05-06,1954-11-19
8,1969-03-26,1969-07-03
8,1974-02-13,1974-07-25
8,1978-01-24,1978-06-23
8,1992-02-12,1992-07-22
8,1998-10-26,1999-05-07
8,2006-05-19,2006-12-01
8,2009-10-27,2010-05-21
8,2014-05-21,2014-12-05
8,2019-01-16,2019-06-28
11,1989-11-15,1990-05-31
11,1990-12-20,1991-06-21
12,1982-11-24,1983-01-20
12,1984-05-24,1984-11-16
13,1954-12-08,1955-06-23
13,2013-04-17,2013-09-03
13,2013-10-22,2014-05-09
13,2019-01-16,2019-06-28
13,2020-02-12,2020-08-07
13,2020-09-09,2021-03-26
14,2002-10-17,2003-03-20
15,1998-10-26,1999-05-07
15,2021-10-26,2022-06-03
16,1954-05-06,1954-11-19
20,2004-01-29,2004-07-02
20,2004-12-15,2005-05-12
21,1954-12-08,1955-06-23
24,1954-12-08,1955-06-23
24,1957-10-15,1958-05-09
24,1972-12-13,1973-06-20
24,1991-09-03,1992-01-24
28,1954-12-08,1955-06-23
28,1979-03-07,1979-09-21
