k,start,end
1,1998-10-26,1999-05-07
2,1959-09-15,1960-01-27
5,1967-09-06,1968-01-26
5,1972-12-13,1973-06-20
5,1975-10-22,1976-05-14
5,1990-12-20,1991-06-21
5,1994-11-10,1995-06-02
5,1998-10-26,1999-05-07
5,2013-10-22,2014-05-09
6,1954-05-06,1954-11-19
6,1979-03-07,1979-09-21
7,1982-03-24,1982-06-25
7,1982-11-24,1983-01-20
7,1984-05-24,1984-11-16
8,1954-05-06,1954-11-19
8,1956-09-27,1957-03-15
8,1993-09-29,1994-04-15
8,1995-06-21,1995-12-08
8,2008-09-16,2009-03-27
10,1998-10-26,1999-05-07
10,2021-10-26,2022-06-03
11,1954-12-08,1955-06-23
12,1954-12-08,1955-06-23
12,1972-12-13,1973-06-20
12,2013-04-17,2013-09-03
12,2013-10-22,2014-05-09
12,2019-01-16,2019-06-28
16,1954-12-08,1955-06-23
16,1958-12-09,1959-06-25
16,1992-02-12,1992-07-22
16,1998-10-26,1999-05-07
16,2006-05-19,2006-12-01
16,2009-10-27,2010-05-21
16,2014-05-21,2014-12-05
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
17,1954-12-08,1955-06-23
17,1957-10-15,1958-05-09
17,1972-12-13,1973-06-20
17,1991-09-03,1992-01-24
22,2002-10-17,2003-03-20
23,1990-12-20,1991-06-21
25,1956-02-02,1956-07-07
