k,start,end
4,1954-05-06,1954-11-19
4,1972-12-13,1973-06-20
4,2019-01-16,2019-06-28
5,1999-06-08,1999-12-03
5,2002-10-17,2003-03-20
6,1954-12-08,1955-06-23
6,1982-03-24,1982-06-25
6,1983-03-29,1983-10-14
10,1954-12-08,1955-06-23
10,1992-02-12,1992-07-22
10,1998-10-26,1999-05-07
10,2019-01-16,2019-06-28
10,2020-02-12,2020-08-07
10,2020-09-09,2021-03-26
14,2021-10-26,2022-06-03
16,1967-09-06,1968-01-26
16,1972-12-13,1973-06-20
16,1975-10-22,1976-05-14
16,1998-10-26,1999-05-07
18,1954-12-08,1955-06-23
19,1979-03-07,1979-09-21
20,1989-11-15,1990-05-31
20,1990-12-20,1991-06-21
