k,start,end
1,2008-09-16,2009-03-27
3,1990-12-20,1991-06-21
4,1954-05-06,1954-11-19
4,1972-12-13,1973-06-20
4,1981-09-09,1981-11-12
4,2013-04-17,2013-09-03
4,2013-10-22,2014-05-09
4,2019-01-16,2019-06-28
5,1998-10-26,1999-05-07
5,1999-06-08,1999-12-03
5,2002-10-17,2003-03-20
6,1954-05-06,1954-11-19
6,1954-12-08,1955-06-23
6,1982-03-24,1982-06-25
6,1983-03-29,1983-10-14
10,1953-10-06,1954-04-30
10,1958-12-09,1959-06-25
10,1992-02-12,1992-07-22
10,1998-10-26,1999-05-07
10,2006-05-19,2006-12-01
10,2009-10-27,2010-05-21
10,2014-05-21,2014-12-05
10,2019-01-16,2019-06-28
10,2020-02-12,2020-08-07
10,2020-09-09,2021-03-26
14,1998-10-26,1999-05-07
14,2021-10-26,2022-06-03
16,1967-09-06,1968-01-26
16,1972-12-13,1973-06-20
16,1975-10-22,1976-05-14
16,1979-09-26,1980-03-21
16,1983-03-29,1983-10-14
16,1990-12-20,1991-06-21
16,1994-11-10,1995-06-02
16,1998-10-26,1999-05-07
16,2002-10-17,2003-03-20
16,2013-10-22,2014-05-09
17,1956-02-02,1956-07-07
18,1954-12-08,1955-06-23
18,1957-10-15,1958-05-09
19,1979-03-07,1979-09-21
20,1960-09-28,1961-03-17
20,1982-11-24,1983-01-20
20,1983-03-29,1983-10-14
20,1989-11-15,1990-05-31
20,1990-12-20,1991-06-21
21,2021-10-26,2022-06-03
