k,start,end
1,1954-12-08,1955-06-23
5,1982-09-08,1982-11-12
6,1954-05-06,1954-11-19
6,1972-12-13,1973-06-20
6,2019-01-16,2019-06-28
9,2002-10-17,2003-03-20
15,1982-11-24,1983-01-20
15,1984-05-24,1984-11-16
15,2010-12-16,2011-07-08
18,2021-10-26,2022-06-03
19,1979-03-07,1979-09-21
20,1954-12-08,1955-06-23
21,1998-10-26,1999-05-07
23,1954-12-08,1955-06-23
23,1991-09-03,1992-01-24
24,1955-06-28,1956-01-20
25,1958-12-09,1959-06-25
25,1992-02-12,1992-07-22
25,1998-10-26,1999-05-07
25,2019-01-16,2019-06-28
25,2020-02-12,2020-08-07
25,2020-09-09,2021-03-26
26,1967-09-06,1968-01-26
26,1972-12-13,1973-06-20
26,1975-10-22,1976-05-14
26,1998-10-26,1999-05-07
