k,start,end
1,1954-05-06,1954-11-19
1,1954-12-08,1955-06-23
3,1954-12-08,1955-06-23
3,1989-11-15,1990-05-31
3,1990-12-20,1991-06-21
5,1982-09-08,1982-11-12
5,1990-12-20,1991-06-21
6,1954-05-06,1954-11-19
6,1972-12-13,1973-06-20
6,2013-04-17,2013-09-03
6,2013-10-22,2014-05-09
6,2019-01-16,2019-06-28
9,2002-10-17,2003-03-20
13,2014-05-21,2014-12-05
15,1982-11-24,1983-01-20
15,1984-05-24,1984-11-16
15,2010-12-16,2011-07-08
16,1998-10-26,1999-05-07
18,1954-12-08,1955-06-23
18,2021-10-26,2022-06-03
19,1979-03-07,1979-09-21
20,1954-12-08,1955-06-23
21,1998-10-26,1999-05-07
23,1954-12-08,1955-06-23
23,1972-12-13,1973-06-20
23,1991-09-03,1992-01-24
24,1955-06-28,1956-01-20
24,1957-10-15,1958-05-09
25,1958-12-09,1959-06-25
25,1992-02-12,1992-07-22
25,1998-10-26,1999-05-07
25,2006-05-19,2006-12-01
25,2009-10-27,2010-05-21
25,2014-05-21,2014-12-05
25,2019-01-16,2019-06-28
25,2020-02-12,2020-08-07
25,2020-09-09,2021-03-26
26,1966-12-09,1967-06-30
26,1967-09-06,1968-01-26
26,1972-12-13,1973-06-20
26,1975-10-22,1976-05-14
26,1990-12-20,1991-06-21
26,1994-11-10,1995-06-02
26,1998-10-26,1999-05-07
26,2013-10-22,2014-05-09
27,2017-10-24,2018-05-18
