k,start,end
1,1954-12-08,1955-06-23
1,1957-10-15,1958-05-09
1,1972-01-19,1972-06-23
1,1972-12-13,1973-06-20
1,1989-11-15,1990-05-31
1,1991-09-03,1992-01-24
2,1982-03-24,1982-06-25
2,1982-11-24,1983-01-20
2,1984-05-24,1984-11-16
2,2010-12-16,2011-07-08
3,1954-12-08,1955-06-23
3,1957-03-20,1957-08-29
3,1960-02-10,1960-07-01
3,1983-03-29,1983-10-14
3,1991-09-03,1992-01-24
4,1954-05-06,1954-11-19
4,1954-12-08,1955-06-23
4,1956-09-27,1957-03-15
4,1983-03-29,1983-10-14
4,2004-01-29,2004-07-02
4,2004-12-15,2005-05-12
4,2017-10-24,2018-05-18
7,1954-12-08,1955-06-23
7,1965-10-19,1966-05-06
7,1970-09-16,1971-02-12
7,1972-12-13,1973-06-20
7,1998-04-01,1998-10-16
7,1998-10-26,1999-05-07
7,2009-04-22,2009-09-08
7,2009-10-27,2010-05-21
7,2013-04-17,2013-09-03
7,2013-10-22,2014-05-09
7,2019-01-16,2019-06-28
9,1954-12-08,1955-06-23
9,1958-12-09,1959-06-25
9,1992-02-12,1992-07-22
9,1998-10-26,1999-05-07
9,2006-05-19,2006-12-01
9,2009-10-27,2010-05-21
9,2014-05-21,2014-12-05
9,2019-01-16,2019-06-28
12,1990-12-20,1991-06-21
13,2018-06-06,2018-12-14
15,1962-12-12,1963-06-28
15,1982-09-08,1982-11-12
15,1990-12-20,1991-06-21
15,2008-09-16,2009-03-27
16,1955-06-28,1956-01-20
16,1995-06-21,1995-12-08
17,1964-02-05,1964-07-29
17,2020-02-12,2020-08-07
17,2020-09-09,2021-03-26
17,2021-10-26,2022-06-03
18,1954-12-08,1955-06-23
19,1974-02-13,1974-07-25
19,1974-09-18,1975-03-21
19,1975-10-22,1976-05-14
19,1979-03-07,1979-09-21
20,1954-05-06,1954-11-19
20,1998-10-26,1999-05-07
20,2018-06-06,2018-12-14
21,1954-05-06,1954-11-19
21,1954-12-08,1955-06-23
21,1983-10-26,1984-05-04
21,1998-10-26,1999-05-07
21,2001-08-29,2002-03-21
21,2021-10-26,2022-06-03
22,1966-12-09,1967-06-30
22,1967-09-06,1968-01-26
22,1972-12-13,1973-06-20
22,1974-09-18,1975-03-21
22,1975-10-22,1976-05-14
22,1976-12-14,1977-06-24
22,1979-09-26,1980-03-21
22,1983-03-29,1983-10-14
22,1990-12-20,1991-06-21
22,1994-11-10,1995-06-02
22,1998-10-26,1999-05-07
22,2002-10-17,2003-03-20
22,2005-10-18,2006-05-11
22,2013-10-22,2014-05-09
23,1983-03-29,1983-10-14
23,2021-10-26,2022-06-03
24,1998-10-26,1999-05-07
24,2015-07-17,2016-01-29
24,2021-10-26,2022-06-03
25,1959-09-15,1960-01-27
26,1998-10-26,1999-05-07
26,2021-10-26,2022-06-03
27,1956-02-02,1956-07-07
27,1983-10-26,1984-05-04
28,2002-03-22,2002-09-13
29,1960-02-10,1960-07-01
29,1977-09-07,1978-01-20
29,1986-01-15,1986-06-27
29,1987-09-09,1988-03-11
30,1954-12-08,1955-06-23
30,1956-09-27,1957-03-15
