k,start,end
1,1954-12-08,1955-06-23
1,1957-10-15,1958-05-09
1,1989-11-15,1990-05-31
1,1991-09-03,1992-01-24
2,1982-11-24,1983-01-20
2,1984-05-24,1984-11-16
3,1954-12-08,1955-06-23
3,1960-02-10,1960-07-01
4,1954-05-06,1954-11-19
7,1954-12-08,1955-06-23
7,1972-12-13,1973-06-20
7,2013-04-17,2013-09-03
7,2013-10-22,2014-05-09
7,2019-01-16,2019-06-28
9,1958-12-09,1959-06-25
9,1992-02-12,1992-07-22
9,1998-10-26,1999-05-07
9,2006-05-19,2006-12-01
9,2009-10-27,2010-05-21
9,2014-05-21,2014-12-05
9,2019-01-16,2019-06-28
12,1990-12-20,1991-06-21
15,1982-09-08,1982-11-12
15,1990-12-20,1991-06-21
15,2008-09-16,2009-03-27
16,1955-06-28,1956-01-20
17,2020-02-12,2020-08-07
17,2020-09-09,2021-03-26
19,1979-03-07,1979-09-21
21,1954-12-08,1955-06-23
21,1998-10-26,1999-05-07
21,2021-10-26,2022-06-03
22,1967-09-06,1968-01-26
22,1972-12-13,1973-06-20
22,1975-10-22,1976-05-14
22,1979-09-26,1980-03-21
22,1990-12-20,1991-06-21
22,1994-11-10,1995-06-02
22,1998-10-26,1999-05-07
22,2013-10-22,2014-05-09
25,1959-09-15,1960-01-27
26,1998-10-26,1999-05-07
27,1956-02-02,1956-07-07
28,2002-10-17,2003-03-20
30,1954-12-08,1955-06-23
30,1956-09-27,1957-03-15
