k,start,end
1,1998-10-26,1999-05-07
1,2002-10-17,2003-03-20
1,2014-05-21,2014-12-05
2,1954-05-06,1954-11-19
2,1954-12-08,1955-06-23
2,1956-09-27,1957-03-15
2,1957-03-20,1957-08-29
2,2008-09-16,2009-03-27
4,2002-10-17,2003-03-20
4,2010-12-16,2011-07-08
6,1954-12-08,1955-06-23
6,2021-10-26,2022-06-03
7,1954-05-06,1954-11-19
7,1966-12-09,1967-06-30
7,1970-09-16,1971-02-12
7,1972-12-13,1973-06-20
7,1999-12-15,2000-07-07
7,2009-04-22,2009-09-08
7,2009-10-27,2010-05-21
7,2013-04-17,2013-09-03
7,2013-10-22,2014-05-09
7,2019-01-16,2019-06-28
7,2020-02-12,2020-08-07
7,2020-09-09,2021-03-26
7,2021-10-26,2022-06-03
8,1990-12-20,1991-06-21
8,2017-10-24,2018-05-18
9,1983-10-26,1984-05-04
10,1955-06-28,1956-01-20
12,1956-02-02,1956-07-07
13,1962-05-16,1962-12-07
13,1983-10-26,1984-05-04
13,1998-10-26,1999-05-07
13,2001-08-29,2002-03-21
13,2017-10-24,2018-05-18
13,2021-10-26,2022-06-03
14,1960-02-10,1960-07-01
14,1986-01-15,1986-06-27
14,1987-09-09,1988-03-11
15,1962-12-12,1963-06-28
15,1974-02-13,1974-07-25
15,1974-09-18,1975-03-21
15,1979-03-07,1979-09-21
15,2014-12-17,2015-07-03
16,2017-10-24,2018-05-18
17,1954-05-06,1954-11-19
17,1959-09-15,1960-01-27
17,1982-11-24,1983-01-20
17,1983-10-26,1984-05-04
17,2010-12-16,2011-07-08
18,1956-09-27,1957-03-15
18,1990-12-20,1991-06-21
18,1998-10-26,1999-05-07
18,1999-06-08,1999-12-03
19,1954-12-08,1955-06-23
19,1957-10-15,1958-05-09
19,1960-02-10,1960-07-01
19,1972-12-13,1973-06-20
19,1974-02-13,1974-07-25
19,1974-09-18,1975-03-21
19,1989-11-15,1990-05-31
19,1990-12-20,1991-06-21
20,1958-12-09,1959-06-25
20,1983-10-26,1984-05-04
20,1992-02-12,1992-07-22
20,1998-10-26,1999-05-07
20,2006-05-19,2006-12-01
20,2009-10-27,2010-05-21
20,2014-05-21,2014-12-05
20,2019-01-16,2019-06-28
21,1954-12-08,1955-06-23
21,1966-12-09,1967-06-30
21,1967-09-06,1968-01-26
21,1969-10-20,1970-03-20
21,1972-12-13,1973-06-20
21,1974-09-18,1975-03-21
21,1975-10-22,1976-05-14
21,1976-12-14,1977-06-24
21,1979-09-26,1980-03-21
21,1983-03-29,1983-10-14
21,1990-12-20,1991-06-21
21,1994-11-10,1995-06-02
21,1998-10-26,1999-05-07
21,2002-10-17,2003-03-20
21,2005-10-18,2006-05-11
21,2013-10-22,2014-05-09
21,2019-01-16,2019-06-28
22,1954-12-08,1955-06-23
22,1989-11-15,1990-05-31
22,1990-12-20,1991-06-21
22,2018-06-06,2018-12-14
