k,start,end
1,1956-02-02,1956-07-07
2,1954-05-06,1954-11-19
2,1972-12-13,1973-06-20
5,1990-06-01,1990-11-22
6,1959-09-15,1960-01-27
8,1954-12-08,1955-06-23
8,1989-11-15,1990-05-31
8,1991-09-03,1992-01-24
13,1955-06-28,1956-01-20
16,1982-11-24,1983-01-20
16,1983-10-26,1984-05-04
17,1979-03-07,1979-09-21
22,2021-10-26,2022-06-03
26,1954-05-06,1954-11-19
26,1958-12-09,1959-06-25
26,1992-02-12,1992-07-22
26,1998-10-26,1999-05-07
26,2009-10-27,2010-05-21
26,2019-01-16,2019-06-28
26,2020-02-12,2020-08-07
26,2020-09-09,2021-03-26
27,1990-12-20,1991-06-21
27,2008-09-16,2009-03-27
28,1954-12-08,1955-06-23
28,2019-01-16,2019-06-28
29,1998-10-26,1999-05-07
33,2002-10-17,2003-03-20
34,1960-09-28,1961-03-17
34,1967-09-06,1968-01-26
34,1972-12-13,1973-06-20
34,1975-10-22,1976-05-14
34,1998-10-26,1999-05-07
