k,start,end
1,1954-05-06,1954-11-19
1,1954-12-08,1955-06-23
1,1956-02-02,1956-07-07
1,1956-09-27,1957-03-15
1,1957-03-20,1957-08-29
1,1981-09-09,1981-11-12
1,1983-03-29,1983-10-14
1,1994-11-10,1995-06-02
1,1998-10-26,1999-05-07
2,1983-03-29,1983-10-14
2,1994-11-10,1995-06-02
3,1969-10-20,1970-03-20
3,1978-09-01,1979-02-16
3,1998-10-26,1999-05-07
4,1954-12-08,1955-06-23
4,1959-09-15,1960-01-27
4,1982-03-24,1982-06-25
4,1983-03-29,1983-10-14
4,2008-02-13,2008-06-27
4,2008-09-16,2009-03-27
4,2010-12-16,2011-07-08
4,2012-02-08,2012-07-19
4,2012-09-11,2013-03-22
4,2014-05-21,2014-12-05
5,2017-10-24,2018-05-18
6,2014-12-17,2015-07-03
7,1954-12-08,1955-06-23
7,1957-03-20,1957-08-29
7,1957-10-15,1958-05-09
7,1960-02-10,1960-07-01
7,1972-01-19,1972-06-23
7,1972-12-13,1973-06-20
7,1974-02-13,1974-07-25
7,1974-09-18,1975-03-21
7,1975-10-22,1976-05-14
7,1979-09-26,1980-03-21
7,1983-03-29,1983-10-14
7,1991-09-03,1992-01-24
7,1992-09-08,1993-03-05
7,1995-06-21,1995-12-08
7,1998-10-26,1999-05-07
7,1999-12-15,2000-07-07
7,2017-10-24,2018-05-18
8,2005-10-18,2006-05-11
9,1954-12-08,1955-06-23
9,1956-09-27,1957-03-15
9,1960-02-10,1960-07-01
9,1976-12-14,1977-06-24
9,1990-12-20,1991-06-21
9,1995-06-21,1995-12-08
9,1996-01-17,1996-07-09
9,1999-06-08,1999-12-03
9,2001-02-07,2001-07-06
9,2009-10-27,2010-05-21
9,2020-09-09,2021-03-26
9,2021-10-26,2022-06-03
10,1954-12-08,1955-06-23
10,1960-02-10,1960-07-01
10,1974-09-18,1975-03-21
10,1975-04-09,1975-10-17
10,1977-09-07,1978-01-20
10,1986-01-15,1986-06-27
10,1987-02-18,1987-09-02
10,1987-09-09,1988-03-11
10,1994-11-10,1995-06-02
11,1962-05-16,1962-12-07
11,1964-02-05,1964-07-29
11,1998-10-26,1999-05-07
11,2019-01-16,2019-06-28
11,2020-02-12,2020-08-07
11,2020-09-09,2021-03-26
12,1954-05-06,1954-11-19
12,1957-10-15,1958-05-09
12,1958-12-09,1959-06-25
