k,start,end
1,1954-12-08,1955-06-23
4,1959-09-15,1960-01-27
7,1954-12-08,1955-06-23
11,2020-02-12,2020-08-07
11,2020-09-09,2021-03-26
12,1958-12-09,1959-06-25
12,1992-02-12,1992-07-22
12,1998-10-26,1999-05-07
12,2009-10-27,2010-05-21
12,2019-01-16,2019-06-28
15,1974-09-18,1975-03-21
17,1982-11-24,1983-01-20
17,1984-05-24,1984-11-16
18,2002-10-17,2003-03-20
19,1989-11-15,1990-05-31
20,1956-02-02,1956-07-07
21,1998-10-26,1999-05-07
22,1954-12-08,1955-06-23
22,1972-12-13,1973-06-20
22,2019-01-16,2019-06-28
25,1955-06-28,1956-01-20
26,2021-10-26,2022-06-03
29,1979-03-07,1979-09-21
30,1972-12-13,1973-06-20
30,1975-10-22,1976-05-14
30,1998-10-26,1999-05-07
