k,start,end
1,1990-12-20,1991-06-21
1,1996-01-17,1996-07-09
1,2008-09-16,2009-03-27
2,1955-06-28,1956-01-20
4,1954-05-06,1954-11-19
4,1966-12-09,1967-06-30
4,1969-03-26,1969-07-03
4,1972-12-13,1973-06-20
4,1974-02-13,1974-07-25
4,1974-09-18,1975-03-21
4,1975-10-22,1976-05-14
4,1978-01-24,1978-06-23
4,1992-02-12,1992-07-22
4,1998-10-26,1999-05-07
4,2006-05-19,2006-12-01
4,2009-10-27,2010-05-21
4,2014-05-21,2014-12-05
4,2019-01-16,2019-06-28
5,2002-10-17,2003-03-20
6,1974-09-18,1975-03-21
6,1975-04-09,1975-10-17
6,1986-01-15,1986-06-27
6,1987-09-09,1988-03-11
7,1954-12-08,1955-06-23
8,1982-11-24,1983-01-20
8,1984-05-24,1984-11-16
8,2014-05-21,2014-12-05
10,1954-12-08,1955-06-23
10,1962-12-12,1963-06-28
10,1979-03-07,1979-09-21
11,1994-11-10,1995-06-02
11,1998-10-26,1999-05-07
11,2002-10-17,2003-03-20
11,2021-10-26,2022-06-03
12,1956-09-27,1957-03-15
12,1998-10-26,1999-05-07
12,2018-06-06,2018-12-14
14,1954-12-08,1955-06-23
14,1957-10-15,1958-05-09
14,1972-12-13,1973-06-20
14,1989-11-15,1990-05-31
14,1990-12-20,1991-06-21
14,1991-09-03,1992-01-24
14,1998-10-26,1999-05-07
15,1954-05-06,1954-11-19
15,1954-12-08,1955-06-23
15,1956-09-27,1957-03-15
15,1957-03-20,1957-08-29
15,1981-09-09,1981-11-12
15,1981-11-13,1982-03-12
15,1994-11-10,1995-06-02
15,1999-06-08,1999-12-03
15,2013-04-17,2013-09-03
15,2013-10-22,2014-05-09
15,2019-01-16,2019-06-28
16,2018-06-06,2018-12-14
18,1954-12-08,1955-06-23
18,1957-03-20,1957-08-29
18,1960-02-10,1960-07-01
18,1998-10-26,1999-05-07
18,2021-10-26,2022-06-03
19,1954-12-08,1955-06-23
19,1974-02-13,1974-07-25
19,2021-10-26,2022-06-03
20,1989-11-15,1990-05-31
20,1990-12-20,1991-06-21
21,1954-05-06,1954-11-19
21,2004-01-29,2004-07-02
21,2004-12-15,2005-05-12
21,2008-02-13,2008-06-27
21,2010-12-16,2011-07-08
21,2012-09-11,2013-03-22
21,2017-10-24,2018-05-18
22,1953-10-06,1954-04-30
22,1958-12-09,1959-06-25
22,1960-09-28,1961-03-17
22,1966-12-09,1967-06-30
22,1967-09-06,1968-01-26
22,1969-10-20,1970-03-20
22,1972-12-13,1973-06-20
22,1974-09-18,1975-03-21
22,1975-10-22,1976-05-14
22,1976-12-14,1977-06-24
22,1979-09-26,1980-03-21
22,1983-03-29,1983-10-14
22,1990-12-20,1991-06-21
22,1994-11-10,1995-06-02
22,1998-10-26,1999-05-07
22,2002-10-17,2003-03-20
22,2005-10-18,2006-05-11
22,2013-10-22,2014-05-09
22,2019-01-16,2019-06-28
22,2020-02-12,2020-08-07
22,2020-09-09,2021-03-26
24,1954-12-08,1955-06-23
24,1956-02-02,1956-07-07
24,1972-12-13,1973-06-20
24,1982-03-24,1982-06-25
24,1983-03-29,1983-10-14
24,1983-10-26,1984-05-04
