k,start,end
1,1967-09-06,1968-01-26
1,1972-12-13,1973-06-20
1,1975-10-22,1976-05-14
1,1998-10-26,1999-05-07
4,2002-10-17,2003-03-20
6,1954-12-08,1955-06-23
7,1979-03-07,1979-09-21
11,1989-11-15,1990-05-31
15,1955-06-28,1956-01-20
16,1954-12-08,1955-06-23
16,1972-12-13,1973-06-20
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
17,1998-10-26,1999-05-07
18,2021-10-26,2022-06-03
19,1982-11-24,1983-01-20
19,1984-05-24,1984-11-16
23,1954-12-08,1955-06-23
29,1958-12-09,1959-06-25
29,1992-02-12,1992-07-22
29,1998-10-26,1999-05-07
29,2019-01-16,2019-06-28
