k,start,end
1,1954-12-08,1955-06-23
1,1983-03-29,1983-10-14
1,1998-10-26,1999-05-07
1,2015-07-17,2016-01-29
1,2017-10-24,2018-05-18
1,2021-10-26,2022-06-03
2,1954-12-08,1955-06-23
2,1960-02-10,1960-07-01
2,1974-09-18,1975-03-21
2,1975-04-09,1975-10-17
2,1977-09-07,1978-01-20
2,1986-01-15,1986-06-27
2,1987-09-09,1988-03-11
3,1954-05-06,1954-11-19
3,1954-12-08,1955-06-23
3,1956-09-27,1957-03-15
3,1957-03-20,1957-08-29
3,1981-09-09,1981-11-12
3,1990-06-01,1990-11-22
3,2004-12-15,2005-05-12
3,2005-10-18,2006-05-11
3,2008-02-13,2008-06-27
3,2008-09-16,2009-03-27
3,2013-04-17,2013-09-03
4,1959-09-15,1960-01-27
6,1954-12-08,1955-06-23
6,1956-09-27,1957-03-15
6,1990-12-20,1991-06-21
6,2014-05-21,2014-12-05
7,1983-03-29,1983-10-14
8,1954-05-06,1954-11-19
8,1972-12-13,1973-06-20
8,1982-11-24,1983-01-20
8,1983-10-26,1984-05-04
9,1979-03-07,1979-09-21
9,2013-10-22,2014-05-09
11,1954-12-08,1955-06-23
11,1957-03-20,1957-08-29
11,1960-02-10,1960-07-01
11,1983-10-26,1984-05-04
11,1990-12-20,1991-06-21
11,1991-09-03,1992-01-24
11,1998-10-26,1999-05-07
11,2001-08-29,2002-03-21
11,2013-10-22,2014-05-09
11,2014-05-21,2014-12-05
11,2017-10-24,2018-05-18
11,2021-10-26,2022-06-03
12,1954-12-08,1955-06-23
12,1990-12-20,1991-06-21
12,1999-06-08,1999-12-03
12,2002-03-22,2002-09-13
12,2014-05-21,2014-12-05
13,1962-12-12,1963-06-28
13,2014-12-17,2015-07-03
14,2021-10-26,2022-06-03
15,1954-12-08,1955-06-23
15,1977-09-07,1978-01-20
15,1987-09-09,1988-03-11
15,1998-10-26,1999-05-07
15,1999-06-08,1999-12-03
15,2005-10-18,2006-05-11
15,2009-10-27,2010-05-21
15,2018-06-06,2018-12-14
16,1957-10-15,1958-05-09
16,1958-06-12,1958-11-27
16,1958-12-09,1959-06-25
16,1992-02-12,1992-07-22
16,1998-10-26,1999-05-07
16,2002-10-17,2003-03-20
16,2006-05-19,2006-12-01
16,2009-10-27,2010-05-21
16,2014-05-21,2014-12-05
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
16,2021-10-26,2022-06-03
17,1990-12-20,1991-06-21
17,2014-12-17,2015-07-03
18,1955-06-28,1956-01-20
18,1966-12-09,1967-06-30
18,1967-09-06,1968-01-26
18,1969-10-20,1970-03-20
18,1972-12-13,1973-06-20
18,1974-09-18,1975-03-21
18,1975-10-22,1976-05-14
18,1976-12-14,1977-06-24
18,1979-09-26,1980-03-21
18,1983-03-29,1983-10-14
18,1990-12-20,1991-06-21
18,1994-11-10,1995-06-02
18,1997-09-09,1998-03-27
18,1998-10-26,1999-05-07
18,2002-10-17,2003-03-20
18,2004-01-29,2004-07-02
18,2005-10-18,2006-05-11
18,2013-10-22,2014-05-09
18,2019-01-16,2019-06-28
19,1956-02-02,1956-07-07
19,1972-12-13,1973-06-20
19,1974-02-13,1974-07-25
19,1975-10-22,1976-05-14
19,1982-03-24,1982-06-25
19,1983-03-29,1983-10-14
19,1983-10-26,1984-05-04
19,1992-02-12,1992-07-22
19,1992-09-08,1993-03-05
19,2010-12-16,2011-07-08
20,1954-05-06,1954-11-19
20,1954-12-08,1955-06-23
20,1955-06-28,1956-01-20
20,1995-06-21,1995-12-08
21,1999-12-15,2000-07-07
21,2008-09-16,2009-03-27
22,1953-10-06,1954-04-30
22,1965-10-19,1966-05-06
22,1970-09-16,1971-02-12
22,1972-12-13,1973-06-20
22,1978-09-01,1979-02-16
22,1985-06-19,1985-12-13
22,1989-11-15,1990-05-31
22,1990-12-20,1991-06-21
22,1994-11-10,1995-06-02
22,1998-10-26,1999-05-07
22,2009-04-22,2009-09-08
22,2009-10-27,2010-05-21
22,2013-04-17,2013-09-03
22,2013-10-22,2014-05-09
22,2019-01-16,2019-06-28
23,2017-10-24,2018-05-18
24,1954-05-06,1954-11-19
24,1994-11-10,1995-06-02
24,1998-10-26,1999-05-07
24,2002-10-17,2003-03-20
24,2021-10-26,2022-06-03
25,1954-12-08,1955-06-23
25,1989-11-15,1990-05-31
25,1990-12-20,1991-06-21
26,1954-12-08,1955-06-23
26,1957-10-15,1958-05-09
26,1972-01-19,1972-06-23
26,1972-12-13,1973-06-20
26,1974-02-13,1974-07-25
26,1974-09-18,1975-03-21
26,1975-10-22,1976-05-14
26,1979-09-26,1980-03-21
26,1983-03-29,1983-10-14
26,1989-11-15,1990-05-31
26,1991-09-03,1992-01-24
26,1998-10-26,1999-05-07
