k,start,end
3,1954-05-06,1954-11-19
3,1956-09-27,1957-03-15
3,1990-06-01,1990-11-22
3,2008-02-13,2008-06-27
6,2014-05-21,2014-12-05
8,1982-11-24,1983-01-20
8,1983-10-26,1984-05-04
9,1979-03-07,1979-09-21
11,1954-12-08,1955-06-23
11,1960-02-10,1960-07-01
11,1998-10-26,1999-05-07
11,2021-10-26,2022-06-03
12,2002-10-17,2003-03-20
16,1958-12-09,1959-06-25
16,1992-02-12,1992-07-22
16,1998-10-26,1999-05-07
16,2006-05-19,2006-12-01
16,2009-10-27,2010-05-21
16,2014-05-21,2014-12-05
16,2019-01-16,2019-06-28
16,2020-02-12,2020-08-07
16,2020-09-09,2021-03-26
18,1967-09-06,1968-01-26
18,1972-12-13,1973-06-20
18,1975-10-22,1976-05-14
18,1979-09-26,1980-03-21
18,1983-03-29,1983-10-14
18,1990-12-20,1991-06-21
18,1994-11-10,1995-06-02
18,1998-10-26,1999-05-07
18,2013-10-22,2014-05-09
19,1956-02-02,1956-07-07
19,1972-12-13,1973-06-20
20,1954-12-08,1955-06-23
22,1954-05-06,1954-11-19
22,1972-12-13,1973-06-20
22,1999-12-15,2000-07-07
22,2013-04-17,2013-09-03
22,2013-10-22,2014-05-09
22,2019-01-16,2019-06-28
24,1998-10-26,1999-05-07
24,2021-10-26,2022-06-03
25,1989-11-15,1990-05-31
25,1990-12-20,1991-06-21
26,1954-12-08,1955-06-23
26,1957-10-15,1958-05-09
26,1972-12-13,1973-06-20
26,1991-09-03,1992-01-24
