k,start,end
1,2008-09-16,2009-03-27
2,1998-10-26,1999-05-07
4,1954-12-08,1955-06-23
4,1982-11-24,1983-01-20
4,1983-10-26,1984-05-04
5,2019-01-16,2019-06-28
6,1954-05-06,1954-11-19
6,1954-12-08,1955-06-23
6,1956-09-27,1957-03-15
6,1957-03-20,1957-08-29
6,1981-09-09,1981-11-12
6,2019-01-16,2019-06-28
7,1957-10-15,1958-05-09
7,1972-01-19,1972-06-23
7,1972-12-13,1973-06-20
7,1989-11-15,1990-05-31
7,1991-09-03,1992-01-24
8,1954-12-08,1955-06-23
8,1967-09-06,1968-01-26
8,1972-12-13,1973-06-20
8,1975-10-22,1976-05-14
8,1976-12-14,1977-06-24
8,1979-09-26,1980-03-21
8,1983-03-29,1983-10-14
8,1990-12-20,1991-06-21
8,1994-11-10,1995-06-02
8,1998-10-26,1999-05-07
8,2002-10-17,2003-03-20
8,2005-10-18,2006-05-11
8,2013-10-22,2014-05-09
8,2019-01-16,2019-06-28
9,1972-12-13,1973-06-20
9,1975-10-22,1976-05-14
10,1990-12-20,1991-06-21
10,1992-09-08,1993-03-05
11,1998-10-26,1999-05-07
11,2021-10-26,2022-06-03
12,2002-03-22,2002-09-13
13,1974-09-18,1975-03-21
13,1975-04-09,1975-10-17
13,1986-01-15,1986-06-27
13,1987-09-09,1988-03-11
14,1954-05-06,1954-11-19
14,1955-06-28,1956-01-20
14,1956-02-02,1956-07-07
14,1995-06-21,1995-12-08
15,1954-05-06,1954-11-19
15,1998-10-26,1999-05-07
15,2018-06-06,2018-12-14
16,1954-12-08,1955-06-23
16,1964-02-05,1964-07-29
18,1954-05-06,1954-11-19
18,1970-09-16,1971-02-12
18,1972-12-13,1973-06-20
18,2019-01-16,2019-06-28
19,1982-03-24,1982-06-25
19,1983-03-29,1983-10-14
19,1990-12-20,1991-06-21
20,1954-12-08,1955-06-23
20,1991-09-03,1992-01-24
21,1983-10-26,1984-05-04
21,1998-10-26,1999-05-07
21,2001-08-29,2002-03-21
21,2013-10-22,2014-05-09
21,2014-05-21,2014-12-05
21,2021-10-26,2022-06-03
22,1956-09-27,1957-03-15
22,1990-12-20,1991-06-21
23,1957-10-15,1958-05-09
23,1967-09-06,1968-01-26
23,1969-03-26,1969-07-03
23,1992-02-12,1992-07-22
23,1998-10-26,1999-05-07
23,2006-05-19,2006-12-01
23,2009-10-27,2010-05-21
23,2014-05-21,2014-12-05
23,2019-01-16,2019-06-28
23,2020-02-12,2020-08-07
24,2008-02-13,2008-06-27
24,2008-09-16,2009-03-27
25,2021-10-26,2022-06-03
27,2018-06-06,2018-12-14
28,1962-12-12,1963-06-28
28,1979-03-07,1979-09-21
29,1959-09-15,1960-01-27
29,2020-02-12,2020-08-07
29,2020-09-09,2021-03-26
29,2021-10-26,2022-06-03
30,1972-12-13,1973-06-20
30,2008-09-16,2009-03-27
