k,start,end
2,1998-10-26,1999-05-07
4,1982-11-24,1983-01-20
4,1983-10-26,1984-05-04
6,1954-12-08,1955-06-23
6,2019-01-16,2019-06-28
8,1967-09-06,1968-01-26
8,1972-12-13,1973-06-20
8,1975-10-22,1976-05-14
8,1998-10-26,1999-05-07
12,2002-10-17,2003-03-20
14,1954-05-06,1954-11-19
14,1955-06-28,1956-01-20
18,1954-12-08,1955-06-23
18,1972-12-13,1973-06-20
20,1954-12-08,1955-06-23
21,2021-10-26,2022-06-03
23,1958-12-09,1959-06-25
23,1967-09-06,1968-01-26
23,1992-02-12,1992-07-22
23,1998-10-26,1999-05-07
23,2009-10-27,2010-05-21
23,2019-01-16,2019-06-28
28,1979-03-07,1979-09-21
29,1959-09-15,1960-01-27
29,2020-09-09,2021-03-26
